ICE/RRF2013,"Rough Rice Futures, January 2013, RRF2013, CBOT"
ICE/BRF2014,"Brazilian Real (BRL/USD) Futures, January 2014, BRF2014, CME"
ICE/BRF2019,"Brazilian Real (BRL/USD) Futures, January 2019, BRF2019, CME"
ICE/BRV2015,"Brazilian Real (BRL/USD) Futures, October 2015, BRV2015, CME"
ICE/BRV2021,"Brazilian Real (BRL/USD) Futures, October 2021, BRV2021, CME"
ICE/ARQ2015,"AUSTRALIAN DOLLAR/NEW ZEALAND DOLLAR FUTURES, August 2015 (ARQ2015)"
ICE/DXM1995,"Dollar Index Futures, June 1995, DXM1995, ICE"
ICE/DXH1993,"Dollar Index Futures, March 1993, DXH1993, ICE"
ICE/DXH1990,"Dollar Index Futures, March 1990, DXH1990, ICE"
ICE/DXH1986,"Dollar Index Futures, March 1986, DXH1986, ICE"
ICE/DXH1989,"Dollar Index Futures, March 1989, DXH1989, ICE"
ICE/EDX1998,"Eurodollar Futures, November 1998, EDX1998, CME"
ICE/EDX1996,"Eurodollar Futures, November 1996, EDX1996, CME"
ICE/DXZ1998,"Dollar Index Futures, December 1998, DXZ1998, ICE"
ICE/EDX1997,"Eurodollar Futures, November 1997, EDX1997, CME"
ICE/EDX2010,"Eurodollar Futures, November 2010, EDX2010, CME"
ICE/RVU2013,"Russell 1000 Value Index Mini Futures, September 2013 (RVU2013)"
ICE/CCH2014,"Cocoa Futures, March 2014 (CCH2014)"
ICE/HOJ1985,"Heating Oil Futures, April 1985, HOJ1985, NYMEX"
ICE/SBV2007,"Sugar No. 11 Futures, October 2007 (SBV2007)"
ICE/BRF2013,"Brazilian Real (BRL/USD) Futures, January 2013, BRF2013, CME"
ICE/GG1998,"ICE Gasoil Futures, February 1998, GG1998, ICE"
ICE/RRF1999,"Rough Rice Futures, January 1999, RRF1999, CBOT"
ICE/RRF2003,"Rough Rice Futures, January 2003, RRF2003, CBOT"
ICE/BRF2017,"Brazilian Real (BRL/USD) Futures, January 2017, BRF2017, CME"
ICE/BRG2022,"Brazilian Real (BRL/USD) Futures, February 2022, BRG2022, CME"
ICE/BRG2020,"Brazilian Real (BRL/USD) Futures, February 2020, BRG2020, CME"
ICE/CRG1998,"CRB Index Futures, February 1998, CRG1998, ICE"
ICE/CRG2000,"CRB Index Futures, February 2000, CRG2000, ICE"
ICE/CRG1997,"CRB Index Futures, February 1997, CRG1997, ICE"
ICE/BRG2014,"Brazilian Real (BRL/USD) Futures, February 2014, BRG2014, CME"
ICE/BRG2023,"Brazilian Real (BRL/USD) Futures, February 2023, BRG2023, CME"
ICE/BRV2013,"Brazilian Real (BRL/USD) Futures, October 2013, BRV2013, CME"
